EpochTime,feelings_symptoms,smell_description,smell_value,zipcode
1479305045,,Industrial,2,15206
1479307393,No,Fire and brimstone,3,15218
1479334710,,,1,15213
1479335273,Headache,Industrial metallic ,5,15201
1479342674,,Rotten eggs,3,15207
1479344958,,"McConway & Torley, industrial, burning metal",4,15201
1479351746,,Skunk ,2,15221
1479379660,Awake slightly anxious feeling.,Can smell sulfur on first floor and outside. Heavy fog. Particle counts definitely elevated on first floor and outside warmed air samples.,4,15218
1479382038,,"Industrial, sulfur",3,15217
1479384843,,,3,15208
1479384972,,"industrial smell. Dylos at 30,000+ (partially due to fog)",5,15206
1479385384,Sickening.,"A ripe foul acrid industrial stench. Dylos is at 24,000 and Awair VOC's peaked over 1000ppb last night. This is the fifth night in a row we have had unreasonable stench.",4,15217
1479385860,,"Industrial, metallic, burning",3,15201
1479386082,,sulphuric smoke,3,15218
1479386577,,Industrial,4,15217
1479387900,,Industrial,3,15217
1479388186,Headache,"Industrial smrll, similar ti asphalt",4,15224
1479388282,Sore throat,Rotten eggs industrial ,4,15201
1479389089,,,5,15217
1479389143,,,4,15206
1479389238,Throat irritation,"Industrial, acrid, been very bad since early this morning",4,15206
1479389378,,Industrial ,3,15208
1479389437,,Metallic and burnt smelling,3,15201
1479389599,,sulfur and ammonia,3,15217
1479390149,,Industrial,4,15208
1479390199,,,3,15208
1479390214,,Industrial,4,15208
1479390392,,Industrial ,3,15207
1479390433,,"Burning metal, industrial",2,15201
1479390453,,,1,15206
1479391206,,,5,15206
1479391231,,"Sharp, coal tar like",3,15221
1479391274,Nose irritation ,Industrial ,4,15207
1479391343,Thoat irritation,Industrial,3,15217
1479391909,Nose and throat irritation,Indutrial,4,15218
1479392487,,Industrial ,3,15213
1479392616,,,3,15218
1479392853,,Acrid sulfur smell persists w/fog. Very high particle counts. Indoor counts still rising.,4,15218
1479393556,,Industrial steel mill ,4,15218
1479393803,,Industrial/chemical,4,15217
1479394024,,Strong acrid industrial smell.,5,15206
1479394282,,Industrial,3,15217
1479394288,,Sulfur smell hanging in the fog. Absolutely disgusting.,5,15206
1479394693,Headache. Emotional distress.,"It still stinks to high heaven! Sooty, acrid, industrial. Dylos at 28,000 (possibly partially due to fog)",5,15217
1479395000,,eggs,3,15221
1479396667,No s/s,Sulfur ,3,15221
1479397778,Nose and throat irritation,Industrial,4,15218
1479398947,,Industrial,5,15232
1479399892,,Sulfur and smoke,4,15213
1479399894,,construction related,4,15222
1479400324,,Industry ,4,15217
1479400667,,,4,15221
1479401205,,,4,15207
1479401413,,,1,15221
1479401560,,Industrial sulfur smoke,4,15213
1479401979,,"Sulfur, fog has burned off but heave blue haze is clearly visible. Dylos readings may be at a two year high.",5,15218
1479402174,,Sulfur industrial smoke,4,15217
1479402305,,,3,15213
1479402452,Headache and light wheezing,"Industrial, sulfurous",4,15206
1479402572,,Rotten eggs ,4,15206
1479403429,"Nauseating, mild headache",Industrial ,4,15207
1479404197,,still acrid,4,15206
1479404810,,,3,15217
1479405636,,,4,15219
1479406288,,Acrid sulfur,5,15219
1479406886,,Smog/sulfur odor,4,15213
