EpochTime,3.feed_23.CO_PPM,3.feed_23.PM10_UG_M3
1479479400,1.6,56.0
1479483000,1.2,70.0
1479486600,1.0,54.0
1479490200,0.6,44.0
1479493800,0.2,21.0
1479497400,0.2,20.0
1479501000,0.2,29.0
1479504600,0.3,23.0
1479508200,0.3,25.0
1479511800,0.4,27.0
1479515400,0.4,22.0
1479519000,0.4,23.0
1479522600,0.7,35.0
1479526200,1.3,43.0
1479529800,1.2,40.0
1479533400,1.1,38.0
1479537000,1.1,38.0
1479540600,1.0,31.0
1479544200,0.5,14.0
1479547800,0.2,10.0
1479551400,0.2,12.0
1479555000,0.2,15.0
1479558600,0.3,20.0
1479562200,0.3,25.0
1479565800,0.2,55.0
1479569400,0.1,1.0
1479573000,0.1,-2.0
1479576600,0.1,-2.0
1479580200,0.1,-5.0
1479583800,0.1,-1.0
1479587400,0.1,-1.0
1479591000,0.1,2.0
1479594600,0.1,5.0
1479598200,0.1,0.0
1479601800,0.1,1.0
1479605400,0.1,4.0
1479609000,0.1,0.0
1479612600,0.1,3.0
1479616200,0.1,8.0
1479619800,0.1,2.0
1479623400,0.1,-2.0
1479627000,0.1,2.0
1479630600,0.1,0.0
1479634200,0.1,0.0
1479637800,0.1,3.0
1479641400,0.1,4.0
1479645000,0.1,2.0
1479648600,0.1,1.0
1479652200,0.1,4.0
1479655800,0.1,5.0
1479659400,0.1,2.0
1479663000,0.1,3.0
1479666600,0.1,4.0
1479670200,0.1,5.0
1479673800,0.1,4.0
1479677400,0.1,5.0
1479681000,0.1,4.0
1479684600,0.1,3.0
1479688200,0.1,2.0
1479691800,0.1,5.0
1479695400,0.1,5.0
1479699000,0.1,4.0
1479702600,0.1,5.0
1479706200,0.1,6.0
1479709800,0.1,4.0
1479713400,0.1,13.0
1479717000,0.1,4.0
1479720600,0.1,1.0
1479724200,0.1,1.0
1479727800,0.1,4.0
1479731400,0.1,5.0
1479735000,0.1,6.0
1479738600,0.1,5.0
1479742200,0.1,5.0
1479745800,0.1,6.0
1479749400,0.1,5.0
1479753000,0.1,4.0
1479756600,0.1,4.0
1479760200,0.1,6.0
1479763800,0.1,6.0
1479767400,0.1,6.0
1479771000,0.1,5.0
1479774600,0.1,7.0
1479778200,0.1,6.0
1479781800,0.1,6.0
1479785400,0.1,6.0
1479789000,0.1,7.0
1479792600,0.1,7.0
1479796200,0.1,6.0
1479799800,0.1,6.0
1479803400,0.1,5.0
1479807000,0.1,6.0
1479810600,0.1,6.0
1479814200,0.2,8.0
1479817800,0.2,10.0
1479821400,0.2,9.0
1479825000,0.2,10.0
1479828600,0.1,8.0
1479832200,0.1,6.0
1479835800,0.1,6.0
1479839400,0.2,7.0
1479843000,0.2,10.0
1479846600,0.2,13.0
1479850200,0.2,9.0
1479853800,0.2,9.0
1479857400,0.3,13.0
1479861000,0.6,20.0
1479864600,0.6,23.0
1479868200,0.7,21.0
1479871800,0.6,19.0
1479875400,0.7,18.0
1479879000,0.7,17.0
1479882600,0.7,15.0
1479886200,0.7,17.0
1479889800,0.6,13.0
1479893400,0.6,12.0
1479897000,0.7,13.0
1479900600,0.9,15.0
1479904200,1.1,29.0
1479907800,0.9,46.0
1479911400,0.7,25.0
1479915000,0.5,26.0
1479918600,0.4,25.0
1479922200,0.4,26.0
1479925800,0.3,28.0
1479929400,0.3,29.0
1479933000,0.3,24.0
1479936600,0.2,19.0
1479940200,0.3,21.0
1479943800,0.4,26.0
1479947400,0.4,22.0
1479951000,0.4,22.0
1479954600,0.4,22.0
1479958200,0.5,22.0
1479961800,0.6,24.0
1479965400,0.8,21.0
1479969000,0.5,24.0
1479972600,0.6,28.0
1479976200,0.5,26.0
1479979800,0.4,26.0
1479983400,0.6,25.0
1479987000,0.6,29.0
1479990600,0.4,32.0
1479994200,0.4,31.0
1479997800,0.2,24.0
1480001400,0.2,19.0
1480005000,0.2,15.0
1480008600,0.2,14.0
1480012200,0.2,11.0
1480015800,0.2,13.0
1480019400,0.1,6.0
1480023000,0.2,5.0
1480026600,0.1,4.0
1480030200,0.1,3.0
1480033800,0.1,3.0
1480037400,0.1,-2.0
1480041000,0.1,1.0
1480044600,0.2,1.0
1480048200,0.1,1.0
1480051800,0.2,2.0
1480055400,0.1,2.0
1480059000,0.2,4.0
1480062600,0.2,3.0
1480066200,0.1,3.0
1480069800,0.1,4.0
1480073400,0.2,6.0
1480077000,0.2,5.0
1480080600,0.2,5.0
1480084200,0.1,1.0
1480087800,0.1,4.0
1480091400,0.1,4.0
1480095000,0.2,3.0
1480098600,0.2,5.0
1480102200,0.2,4.0
1480105800,0.2,5.0
1480109400,0.2,4.0
1480113000,0.2,4.0
1480116600,0.2,6.0
1480120200,0.2,5.0
1480123800,0.2,5.0
1480127400,0.2,6.0
1480131000,0.2,4.0
1480134600,0.2,4.0
1480138200,0.2,3.0
1480141800,0.2,2.0
1480145400,0.2,4.0
1480149000,0.1,2.0
1480152600,0.1,3.0
1480156200,0.1,3.0
1480159800,0.2,4.0
1480163400,0.1,6.0
1480167000,0.1,7.0
1480170600,0.2,6.0
1480174200,0.2,7.0
1480177800,0.2,6.0
1480181400,0.1,4.0
1480185000,0.1,4.0
1480188600,0.1,4.0
1480192200,0.1,2.0
1480195800,0.1,6.0
1480199400,0.2,6.0
