EpochTime,3.feed_1.PM25B_UG_M3..3.feed_1.PM25T_UG_M3
1482823800,1
1482827400,2
1482831000,1
1482834600,1
1482838200,2
1482841800,0
1482845400,1
1482849000,1
1482852600,1
1482856200,-1
1482863400,-1
1482867000,7
1482870600,5
1482874200,-1
1482881400,1
1482885000,4
1482888600,4
1482892200,3
1482895800,3
1482899400,4
1482903000,7
1482906600,6
1482910200,5
1482913800,5
1482917400,7
1482921000,6
1482924600,3
1482928200,5
1482931800,5
1482935400,5
1482939000,7
1482942600,6
1482946200,7
1482949800,16
1482953400,3
1482957000,2
1482960600,1
1482964200,2
1482967800,5
1482971400,10
1482975000,9
1482978600,7
1482982200,12
1482985800,8
1482989400,9
1482993000,20
1482996600,14
1483000200,11
1483003800,7
1483007400,5
1483011000,4
1483014600,4
1483018200,6
1483021800,8
1483025400,6
1483029000,6
1483032600,3
1483036200,6
1483039800,4
1483043400,0
1483047000,1
1483050600,2
1483054200,2
1483057800,2
1483061400,1
1483065000,2
1483068600,1
1483072200,3
1483075800,3
1483079400,5
1483083000,1
1483086600,0
1483090200,10
1483093800,5
1483097400,-2
1483101000,-2
1483104600,5
1483108200,3
1483119000,9
1483122600,6
1483126200,2
1483129800,-1
1483133400,0
1483137000,2
1483140600,1
1483144200,2
1483147800,3
1483151400,5
1483155000,4
1483158600,5
1483162200,5
1483165800,4
1483169400,6
1483173000,7
1483176600,4
1483180200,3
1483183800,3
1483187400,7
1483191000,4
1483194600,3
1483198200,5
1483201800,1
1483205400,3
1483209000,2
1483212600,1
1483216200,1
1483219800,0
1483223400,0
1483227000,2
1483230600,0
1483234200,0
1483237800,0
1483241400,0
1483245000,1
1483248600,6
1483252200,5
1483255800,1
1483259400,0
1483263000,4
1483266600,7
1483270200,15
1483273800,9
1483277400,13
1483281000,17
1483284600,13
1483288200,11
1483291800,21
1483295400,7
1483299000,8
1483302600,10
1483306200,7
1483309800,9
1483313400,10
1483317000,11
1483320600,15
1483324200,10
1483327800,10
1483331400,7
1483335000,8
1483338600,11
1483342200,7
1483345800,11
1483349400,11
1483353000,11
1483356600,13
1483360200,8
1483363800,5
1483367400,7
1483371000,6
1483374600,10
1483378200,9
1483381800,5
1483385400,4
1483389000,4
1483392600,3
1483396200,3
1483399800,1
1483403400,0
1483407000,0
1483410600,1
1483414200,3
1483417800,3
1483421400,1
1483425000,-1
1483428600,0
1483432200,0
1483435800,-2
1483439400,-1
1483443000,0
1483446600,0
1483450200,0
1483453800,-1
1483457400,-1
1483461000,-1
1483464600,0
1483468200,0
1483471800,0
1483475400,4
1483479000,8
1483482600,9
1483486200,9
1483489800,8
1483493400,11
1483497000,8
1483500600,5
1483504200,1
1483507800,-1
1483511400,-1
1483515000,3
1483518600,1
1483522200,1
1483525800,3
1483529400,3
1483533000,-1
1483536600,1
1483540200,3
1483543800,5
1483547400,7
1483551000,7
1483554600,5
1483558200,3
1483561800,2
1483565400,2
1483569000,2
1483572600,4
1483576200,3
1483579800,2
1483583400,2
1483587000,2
1483590600,4
1483594200,3
1483597800,4
1483601400,4
1483605000,4
1483608600,3
1483612200,5
1483615800,2
1483619400,0
1483623000,4
1483626600,5
1483630200,4
1483633800,5
1483637400,6
1483641000,4
1483644600,2
1483648200,3
1483651800,3
1483655400,7
1483659000,7
1483662600,9
1483666200,6
1483669800,8
1483673400,7
1483677000,6
1483680600,5
1483684200,3
1483687800,4
1483691400,5
1483695000,7
1483698600,9
1483702200,10
1483705800,15
1483709400,13
1483713000,19
1483716600,12
1483720200,13
1483723800,12
1483727400,10
1483731000,7
1483734600,6
1483738200,11
1483741800,13
1483745400,10
1483749000,14
1483752600,20
1483756200,21
1483759800,21
1483763400,20
1483767000,22
1483770600,22
1483774200,27
1483777800,23
1483781400,19
1483785000,18
1483788600,16
1483792200,21
1483795800,18
1483799400,22
1483803000,21
1483806600,18
1483810200,14
1483813800,20
1483817400,11
1483821000,13
1483824600,9
1483828200,12
1483831800,13
1483835400,13
1483839000,15
1483842600,18
1483846200,10
1483849800,14
1483853400,15
1483857000,15
1483860600,15
1483864200,14
1483867800,17
1483871400,11
1483875000,13
1483878600,9
1483882200,8
1483885800,12
1483889400,6
1483893000,1
1483896600,4
1483900200,4
1483903800,6
1483907400,4
1483911000,3
1483914600,-2
1483918200,-2
1483921800,4
1483925400,4
1483929000,5
1483932600,5
1483936200,7
1483939800,13
1483943400,8
1483947000,12
1483950600,10
1483954200,9
1483957800,9
1483961400,8
1483965000,10
1483968600,9
1483972200,11
1483975800,12
1483979400,13
1483983000,9
1483986600,5
1483990200,5
1483993800,4
1483997400,2
1484001000,1
1484004600,1
1484008200,5
1484011800,6
1484015400,8
1484019000,6
1484022600,4
1484026200,4
1484029800,8
1484033400,6
1484037000,4
1484040600,4
1484044200,2
1484047800,5
1484051400,8
1484055000,10
1484058600,7
1484062200,3
1484065800,3
1484069400,4
1484073000,5
1484076600,6
1484080200,3
1484083800,0
1484087400,0
1484091000,0
1484094600,2
1484098200,1
1484101800,0
1484105400,2
1484109000,0
1484112600,-2
1484116200,2
1484119800,2
1484123400,2
1484127000,2
1484130600,1
1484134200,0
1484137800,2
1484141400,2
1484145000,3
1484148600,5
1484152200,7
1484155800,5
1484159400,6
1484163000,4
1484166600,2
1484170200,3
1484173800,1
1484177400,0
1484181000,2
1484184600,2
1484188200,0
1484191800,1
1484195400,2
1484199000,2
1484202600,1
1484206200,0
1484209800,2
1484213400,2
1484217000,0
1484220600,1
1484224200,3
1484227800,1
1484231400,2
1484235000,2
1484238600,3
1484242200,2
1484245800,3
1484249400,6
1484253000,5
1484256600,2
1484260200,0
1484263800,1
1484267400,2
1484271000,2
1484274600,3
1484278200,-2
1484281800,-1
1484285400,1
1484289000,2
1484292600,5
1484296200,6
1484299800,6
1484303400,8
1484307000,6
1484310600,4
1484314200,6
1484317800,6
1484321400,7
1484325000,7
1484328600,5
1484332200,7
1484335800,5
1484339400,7
1484343000,5
1484346600,3
1484350200,4
1484353800,8
1484357400,6
1484361000,7
1484364600,5
1484368200,6
1484371800,4
1484375400,7
1484379000,6
1484382600,5
1484386200,7
1484389800,7
1484393400,6
1484397000,9
1484400600,7
1484404200,5
1484407800,7
1484411400,7
1484415000,9
1484418600,8
1484422200,9
1484425800,9
1484429400,10
1484433000,9
1484436600,9
1484440200,7
1484443800,9
1484447400,14
1484451000,12
1484454600,13
1484458200,13
1484461800,12
1484465400,12
1484469000,17
1484472600,19
1484476200,17
1484479800,21
1484483400,13
1484487000,13
1484490600,14
1484494200,9
1484497800,11
1484501400,19
1484505000,12
1484508600,9
1484512200,7
1484515800,7
1484519400,11
1484523000,13
1484526600,11
1484530200,11
1484533800,17
1484537400,19
1484541000,24
1484544600,22
1484548200,26
1484551800,24
1484555400,27
1484559000,32
1484562600,31
1484566200,22
1484569800,26
1484573400,16
1484577000,23
1484580600,31
1484584200,33
1484587800,23
1484591400,30
1484595000,34
1484598600,32
1484602200,21
1484605800,15
1484609400,14
1484613000,16
1484616600,19
1484620200,20
1484623800,21
1484627400,25
1484631000,24
1484634600,25
1484638200,21
1484641800,21
1484645400,24
1484649000,21
1484652600,36
1484656200,24
1484659800,24
1484663400,26
1484667000,13
1484670600,8
1484674200,6
1484677800,4
1484681400,3
