EpochTime,3.feed_29.PM10_UG_M3,3.feed_29.PM25_UG_M3
1482345000,16.0,11.0
1482348600,12.0,6.0
1482352200,16.0,8.0
1482355800,16.0,9.0
1482359400,13.0,7.0
1482363000,23.0,13.0
1482366600,29.0,17.0
1482370200,12.0,7.0
1482373800,16.0,11.0
1482377400,29.0,18.0
1482381000,23.0,14.0
1482384600,38.0,23.0
1482388200,48.0,28.0
1482391800,34.0,17.0
1482395400,14.0,6.0
1482399000,8.0,4.0
1482402600,10.0,6.0
1482406200,12.0,7.0
1482409800,15.0,8.0
1482413400,15.0,10.0
1482417000,15.0,12.0
1482420600,14.0,10.0
1482424200,14.0,9.0
1482427800,12.0,8.0
1482431400,14.0,10.0
1482435000,13.0,9.0
1482438600,12.0,7.0
1482442200,9.0,7.0
1482445800,9.0,7.0
1482449400,10.0,7.0
1482453000,9.0,6.0
1482456600,7.0,5.0
1482460200,7.0,6.0
1482463800,6.0,5.0
1482467400,7.0,5.0
1482471000,7.0,5.0
1482474600,6.0,6.0
1482478200,7.0,7.0
1482481800,6.0,5.0
1482485400,6.0,5.0
1482489000,8.0,6.0
1482492600,8.0,7.0
1482496200,19.0,12.0
1482499800,22.0,15.0
1482503400,26.0,15.0
1482507000,13.0,8.0
1482510600,10.0,6.0
1482514200,13.0,7.0
1482517800,10.0,6.0
1482521400,9.0,6.0
1482525000,11.0,6.0
1482528600,10.0,7.0
1482532200,16.0,9.0
1482535800,19.0,10.0
1482539400,21.0,13.0
1482543000,18.0,12.0
1482546600,40.0,24.0
1482550200,36.0,20.0
1482553800,28.0,18.0
1482557400,26.0,18.0
1482561000,47.0,26.0
1482564600,25.0,15.0
1482568200,31.0,18.0
1482571800,23.0,15.0
1482575400,19.0,14.0
1482579000,16.0,10.0
1482582600,12.0,9.0
1482586200,8.0,7.0
1482589800,10.0,9.0
1482593400,4.0,5.0
1482597000,5.0,4.0
1482600600,3.0,4.0
1482604200,3.0,3.0
1482607800,6.0,5.0
1482611400,6.0,6.0
1482615000,6.0,5.0
1482618600,6.0,7.0
1482622200,9.0,7.0
1482625800,8.0,7.0
1482629400,8.0,7.0
1482633000,11.0,8.0
1482636600,11.0,9.0
1482640200,11.0,10.0
1482643800,12.0,8.0
1482647400,9.0,7.0
1482651000,9.0,8.0
1482654600,11.0,8.0
1482658200,11.0,8.0
1482661800,8.0,7.0
1482665400,6.0,7.0
1482669000,8.0,7.0
