EpochTime,3.feed_3506.PM2_5,3.feed_3506.OZONE
1487075400,9.0,3.0
1487079000,11.0,11.0
1487082600,7.0,18.0
1487086200,7.0,27.0
1487089800,7.0,34.0
1487093400,7.0,37.0
1487097000,5.0,40.0
1487100600,1.0,42.0
1487104200,2.0,43.0
1487107800,4.0,43.0
1487111400,3.0,41.0
1487115000,5.0,36.0
1487118600,5.0,35.0
1487122200,4.0,34.0
1487125800,6.0,32.0
1487129400,5.0,33.0
1487133000,2.0,32.0
1487136600,4.0,32.0
1487140200,6.0,31.0
1487143800,5.0,31.0
1487147400,7.0,31.0
1487151000,5.0,29.0
1487154600,5.0,25.0
1487158200,7.0,28.0
1487161800,11.0,37.0
1487165400,6.0,39.0
1487169000,5.0,41.0
1487172600,5.0,40.0
1487176200,2.0,38.0
1487179800,0.0,36.0
1487183400,2.0,32.0
1487187000,4.0,31.0
1487190600,7.0,30.0
1487194200,7.0,29.0
1487197800,8.0,29.0
1487201400,6.0,29.0
1487205000,4.0,28.0
1487208600,7.0,28.0
1487212200,8.0,28.0
1487215800,6.0,28.0
1487219400,6.0,30.0
1487223000,6.0,29.0
1487226600,5.0,26.0
1487230200,6.0,26.0
1487233800,10.0,26.0
1487237400,10.0,27.0
1487241000,7.0,28.0
1487244600,8.0,31.0
1487248200,3.0,33.0
1487251800,5.0,33.0
1487255400,5.0,34.0
1487259000,5.0,34.0
1487262600,4.0,34.0
1487266200,7.0,35.0
1487269800,6.0,34.0
1487273400,6.0,33.0
1487277000,6.0,34.0
1487280600,4.0,35.0
1487284200,4.0,33.0
1487287800,6.0,33.0
1487291400,5.0,26.0
1487295000,13.0,14.0
1487298600,17.0,0.0
1487302200,19.0,0.0
1487305800,22.0,0.0
1487309400,16.0,0.0
1487313000,18.0,0.0
1487316600,15.0,0.0
1487320200,17.0,0.0
1487323800,16.0,0.0
1487327400,27.0,0.0
1487331000,12.0,5.0
1487334600,18.0,2.0
1487338200,21.0,7.0
1487341800,19.0,11.0
1487345400,20.0,9.0
1487349000,20.0,16.0
1487352600,22.0,21.0
1487356200,16.0,21.0
1487359800,23.0,22.0
1487363400,15.0,32.0
1487367000,14.0,37.0
1487370600,16.0,22.0
1487374200,22.0,2.0
1487377800,20.0,1.0
1487381400,21.0,0.0
