EpochTime,3.feed_3.PM10B_UG_M3..3.feed_3.PM10_640_UG_M3
1482687000,12.0
1482690600,14.0
1482694200,10.0
1482697800,14.0
1482701400,11.0
1482705000,11.0
1482708600,17.0
1482712200,12.0
1482715800,10.0
1482719400,13.0
1482723000,12.0
1482726600,15.0
1482730200,18.0
1482733800,8.0
1482737400,17.0
1482741000,17.0
1482744600,7.0
1482748200,7.0
1482751800,6.0
1482755400,3.0
1482759000,8.0
1482762600,7.0
1482766200,33.0
1482769800,70.0
1482773400,36.0
1482777000,26.0
1482780600,31.0
1482784200,28.0
1482787800,31.0
1482791400,37.0
1482795000,27.0
1482798600,20.0
1482802200,34.0
1482805800,46.0
1482809400,20.0
1482813000,11.0
1482816600,18.0
1482820200,0.0
1482823800,-1.0
1482827400,0.0
1482831000,3.0
1482834600,4.0
1482838200,2.0
1482841800,3.0
1482845400,6.0
1482849000,7.0
1482856200,13.0
1482859800,29.0
1482863400,2.0
1482867000,2.0
1482870600,6.0
1482874200,7.0
1482877800,8.0
1482881400,5.0
1482885000,3.0
1482888600,3.0
1482892200,4.0
1482895800,7.0
1482899400,7.0
1482903000,6.0
1482906600,7.0
1482910200,11.0
1482913800,6.0
1482917400,5.0
1482921000,13.0
1482924600,9.0
1482928200,8.0
1482931800,15.0
1482935400,15.0
1482939000,11.0
1482942600,14.0
1482946200,27.0
1482949800,20.0
1482953400,19.0
1482957000,18.0
1482960600,16.0
1482964200,9.0
1482967800,18.0
1482971400,51.0
1482975000,42.0
1482978600,27.0
1482982200,16.0
1482985800,12.0
1482989400,25.0
1482993000,24.0
1482996600,11.0
1483000200,38.0
1483003800,56.0
1483007400,32.0
1483011000,19.0
1483014600,17.0
1483018200,10.0
1483021800,8.0
1483025400,11.0
1483029000,11.0
1483032600,13.0
1483036200,7.0
1483039800,11.0
1483043400,12.0
1483047000,8.0
1483050600,6.0
1483054200,9.0
1483057800,16.0
1483061400,3.0
1483065000,6.0
1483068600,10.0
1483072200,16.0
1483075800,5.0
1483079400,9.0
1483083000,12.0
1483086600,16.0
1483090200,2.0
1483093800,1.0
1483097400,5.0
1483101000,4.0
1483104600,5.0
1483108200,7.0
1483111800,9.0
1483115400,6.0
1483119000,12.0
1483122600,12.0
1483126200,10.0
1483129800,12.0
1483133400,11.0
1483137000,6.0
1483140600,7.0
1483144200,7.0
1483147800,12.0
1483151400,16.0
1483155000,15.0
1483158600,27.0
1483162200,47.0
1483165800,35.0
1483169400,36.0
1483173000,50.0
1483176600,25.0
1483180200,16.0
1483183800,13.0
1483187400,32.0
1483191000,30.0
1483194600,21.0
1483198200,32.0
1483201800,45.0
1483205400,23.0
1483209000,16.0
1483212600,9.0
1483216200,41.0
1483219800,23.0
1483223400,31.0
1483227000,26.0
1483230600,27.0
1483234200,20.0
1483237800,12.0
1483241400,9.0
1483245000,6.0
1483248600,10.0
1483252200,8.0
1483255800,4.0
1483259400,-1.0
1483263000,0.0
1483266600,12.0
1483270200,17.0
1483273800,19.0
1483277400,19.0
1483281000,18.0
1483284600,17.0
1483288200,16.0
1483291800,18.0
1483295400,25.0
1483299000,17.0
1483302600,21.0
1483306200,12.0
1483309800,7.0
1483313400,9.0
1483317000,18.0
1483320600,30.0
1483324200,20.0
1483327800,16.0
1483331400,22.0
1483335000,22.0
1483338600,27.0
1483342200,12.0
1483345800,18.0
1483349400,13.0
1483353000,7.0
1483356600,2.0
1483360200,0.0
1483363800,11.0
1483367400,7.0
1483371000,6.0
1483374600,8.0
1483378200,8.0
1483381800,16.0
1483385400,11.0
1483389000,11.0
1483392600,13.0
1483396200,8.0
1483399800,12.0
1483403400,8.0
1483407000,3.0
1483410600,-1.0
1483414200,3.0
1483417800,4.0
1483421400,5.0
1483425000,1.0
1483428600,1.0
1483432200,5.0
1483435800,3.0
1483439400,1.0
