EpochTime,3.feed_1.PM25B_UG_M3..3.feed_1.PM25T_UG_M3..3.feed_1.PM25_640_UG_M3
1483309800,9.0
1483313400,10.0
1483317000,11.0
1483320600,15.0
1483324200,10.0
1483327800,10.0
1483331400,7.0
1483335000,8.0
1483338600,11.0
1483342200,7.0
1483345800,11.0
1483349400,11.0
1483353000,11.0
1483356600,13.0
1483360200,8.0
1483363800,5.0
1483367400,7.0
1483371000,6.0
1483374600,10.0
1483378200,9.0
1483381800,5.0
1483385400,4.0
1483389000,4.0
1483392600,3.0
1483396200,3.0
1483399800,1.0
1483403400,0.0
1483407000,0.0
1483410600,1.0
1483414200,3.0
1483417800,3.0
1483421400,1.0
1483425000,-1.0
1483428600,0.0
1483432200,0.0
1483435800,-2.0
1483439400,-1.0
1483443000,0.0
1483446600,0.0
1483450200,0.0
1483453800,-1.0
1483457400,-1.0
1483461000,-1.0
1483464600,0.0
1483468200,0.0
1483471800,0.0
1483475400,4.0
