EpochTime,3.feed_29.PM25_UG_M3..3.feed_29.PM25T_UG_M3
1482543000,12
1482546600,24
1482550200,20
1482553800,18
1482557400,18
1482561000,26
1482564600,15
1482568200,18
1482571800,15
1482575400,14
1482579000,10
1482582600,9
1482586200,7
1482589800,9
1482593400,5
1482597000,4
1482600600,4
1482604200,3
1482607800,5
1482611400,6
1482615000,5
1482618600,7
1482622200,7
1482625800,7
1482629400,7
1482633000,8
1482636600,9
1482640200,10
1482643800,8
1482647400,7
1482651000,8
1482654600,8
1482658200,8
1482661800,7
1482665400,7
1482669000,7
1482672600,7
1482676200,7
1482679800,4
1482683400,4
1482687000,6
1482690600,7
1482694200,6
1482697800,9
1482701400,9
1482705000,8
1482708600,8
1482712200,9
1482715800,8
1482719400,8
1482723000,8
1482726600,8
1482730200,8
1482733800,8
1482737400,8
1482741000,7
1482744600,6
1482748200,5
1482751800,4
1482755400,2
1482759000,3
1482762600,3
1482766200,4
1482769800,9
1482773400,11
1482777000,15
1482780600,16
1482784200,10
1482787800,12
1482791400,14
1482795000,16
1482798600,14
1482802200,16
1482805800,13
1482809400,6
1482813000,5
1482816600,7
1482820200,8
1482823800,4
1482827400,0
1482831000,3
1482834600,4
1482838200,4
1482841800,3
1482845400,3
1482849000,4
1482852600,2
1482856200,0
1482859800,0
1482863400,0
1482867000,1
1482870600,2
1482874200,3
1482877800,3
1482881400,3
1482885000,4
1482888600,5
1482892200,5
1482895800,4
1482899400,3
1482903000,2
1482906600,5
1482910200,4
1482913800,4
1482917400,5
1482921000,4
1482924600,4
1482928200,3
1482931800,3
1482935400,3
1482939000,2
1482942600,3
1482946200,3
1482949800,3
1482953400,4
1482957000,4
1482960600,4
1482964200,4
1482967800,4
1482971400,5
1482975000,5
1482978600,5
1482982200,5
1482985800,3
1482989400,8
1482993000,15
1482996600,8
1483000200,3
1483003800,19
1483007400,18
1483011000,9
1483014600,2
1483018200,4
1483021800,3
1483025400,2
1483029000,2
1483032600,4
1483036200,4
1483039800,2
