EpochTime,3.feed_29.PM10_UG_M3
1483237800,5
1483241400,6
1483245000,7
1483248600,5
1483252200,6
1483255800,8
1483259400,9
1483263000,6
1483266600,8
1483270200,9
1483273800,9
1483277400,9
1483281000,7
1483284600,7
1483288200,9
1483291800,8
1483295400,7
1483299000,9
1483302600,9
1483306200,9
1483309800,9
1483313400,9
1483317000,13
1483320600,10
1483324200,8
1483327800,10
1483331400,9
1483335000,8
1483338600,9
1483342200,12
1483345800,11
1483349400,6
1483353000,6
1483356600,5
1483360200,3
1483363800,4
1483367400,5
1483371000,3
1483374600,3
1483378200,3
1483381800,4
1483385400,4
1483389000,3
1483392600,3
1483396200,4
1483399800,2
1483403400,2
1483407000,2
1483410600,0
1483414200,2
1483417800,0
1483421400,0
1483425000,0
1483428600,0
1483432200,1
1483435800,0
1483439400,0
1483443000,0
1483446600,1
1483450200,0
1483453800,1
1483457400,1
1483461000,0
1483464600,-1
1483468200,0
1483471800,2
1483475400,3
1483479000,2
1483482600,3
1483486200,10
1483489800,25
1483493400,4
1483497000,4
1483500600,3
1483504200,1
1483507800,0
1483511400,3
1483515000,3
1483518600,3
1483522200,2
1483525800,3
1483529400,0
1483533000,4
1483536600,3
1483540200,0
1483543800,2
1483547400,2
1483551000,2
1483554600,3
1483558200,2
1483561800,4
1483565400,4
1483569000,4
1483572600,5
1483576200,4
1483579800,4
1483583400,4
1483587000,4
1483590600,3
1483594200,5
1483597800,4
1483601400,5
1483605000,3
1483608600,4
1483612200,5
1483615800,5
1483619400,7
1483623000,6
1483626600,5
1483630200,5
1483633800,3
1483637400,6
1483641000,2
1483644600,6
1483648200,5
1483651800,5
1483655400,6
1483659000,6
1483662600,6
1483666200,4
1483669800,5
1483673400,4
1483677000,3
1483680600,4
1483684200,3
1483687800,4
1483691400,5
1483695000,7
1483698600,8
1483702200,9
1483705800,9
1483709400,9
1483713000,7
1483716600,8
1483720200,6
1483723800,5
1483727400,8
1483731000,9
1483734600,10
1483738200,12
1483741800,13
1483745400,17
1483749000,15
1483752600,14
1483756200,16
1483759800,19
1483763400,17
1483767000,16
1483770600,15
1483774200,12
1483777800,10
1483781400,10
1483785000,11
1483788600,10
1483792200,10
1483795800,12
1483799400,13
1483803000,11
1483806600,11
1483810200,13
1483813800,11
1483817400,11
1483821000,10
1483824600,10
1483828200,10
1483831800,12
1483835400,12
1483839000,13
1483842600,13
1483846200,7
1483849800,9
1483853400,8
1483857000,8
1483860600,9
1483864200,9
1483867800,8
1483871400,9
1483875000,8
1483878600,7
1483882200,7
1483885800,4
1483889400,4
1483893000,5
1483896600,6
1483900200,5
1483903800,7
1483907400,7
1483911000,8
1483914600,11
1483918200,12
1483921800,14
1483925400,13
1483929000,17
1483932600,29
1483936200,29
1483939800,27
1483943400,36
1483947000,19
1483950600,18
1483954200,17
1483957800,8
1483961400,12
1483965000,16
1483968600,11
1483972200,9
1483975800,14
1483979400,15
1483983000,23
1483986600,17
1483990200,19
1483993800,14
1483997400,16
1484001000,24
1484004600,19
1484008200,15
1484011800,11
1484015400,12
1484019000,8
1484022600,8
1484026200,10
1484029800,47
1484033400,40
1484037000,23
1484040600,19
1484044200,20
1484047800,6
1484051400,3
1484055000,1
1484058600,0
1484062200,1
1484065800,5
1484069400,7
1484073000,7
1484076600,9
1484080200,10
1484083800,3
1484087400,8
1484091000,13
1484094600,11
1484098200,20
1484101800,15
1484105400,23
1484109000,17
1484112600,8
1484116200,6
1484119800,5
1484123400,4
1484127000,1
1484130600,4
1484134200,4
1484137800,23
1484141400,25
1484145000,19
1484148600,5
1484152200,13
1484155800,9
1484159400,4
1484163000,2
1484166600,5
1484170200,7
1484173800,27
1484177400,8
1484181000,4
1484184600,11
1484188200,24
1484191800,15
1484195400,18
1484199000,21
1484202600,22
1484206200,16
1484209800,24
1484213400,14
1484217000,20
1484220600,20
1484224200,21
1484227800,14
1484231400,9
1484235000,8
1484238600,8
1484242200,11
1484245800,8
1484249400,7
1484253000,11
1484256600,16
1484260200,0
1484263800,3
1484267400,3
1484271000,1
1484274600,7
1484278200,4
1484281800,4
1484285400,4
1484289000,5
1484292600,6
1484296200,6
1484299800,5
1484303400,3
1484307000,5
1484310600,7
1484314200,7
1484317800,6
1484321400,5
1484325000,5
1484328600,4
1484332200,6
1484335800,4
1484343000,7
1484346600,4
1484350200,4
1484353800,7
1484357400,11
1484361000,10
1484364600,8
1484368200,5
1484371800,5
1484375400,6
1484379000,6
1484382600,2
1484386200,5
1484389800,6
1484393400,6
1484397000,6
1484400600,9
1484404200,10
1484407800,9
1484411400,7
1484415000,7
1484418600,11
1484422200,19
1484425800,17
1484429400,17
1484433000,16
1484436600,16
1484440200,14
1484443800,14
1484447400,16
1484451000,14
1484454600,12
1484458200,12
1484461800,15
1484465400,15
1484469000,14
1484472600,13
1484476200,16
1484479800,15
1484483400,12
1484487000,9
1484490600,12
1484494200,13
1484497800,14
1484501400,21
1484505000,24
1484508600,28
1484512200,30
1484515800,27
1484519400,23
1484523000,19
1484526600,20
1484530200,23
1484533800,30
1484537400,43
1484541000,25
1484544600,30
1484548200,27
1484551800,25
1484555400,26
1484559000,28
1484562600,27
1484566200,20
1484569800,20
1484573400,18
1484577000,20
1484580600,20
1484584200,21
1484587800,20
1484591400,22
1484595000,26
1484598600,31
1484602200,25
1484605800,29
1484609400,26
1484613000,20
1484616600,19
1484620200,15
1484623800,15
1484627400,23
1484631000,20
1484634600,15
1484638200,24
1484641800,15
1484645400,12
1484649000,13
1484652600,54
1484656200,50
1484659800,21
1484663400,21
1484667000,14
1484670600,9
1484674200,13
1484677800,11
1484681400,15
1484685000,6
1484688600,9
1484692200,9
1484695800,14
1484699400,6
1484703000,7
1484706600,4
1484710200,5
1484713800,6
1484717400,8
1484721000,5
1484724600,6
1484728200,5
1484731800,5
1484735400,5
1484739000,4
1484742600,1
1484746200,2
1484749800,3
1484753400,1
1484757000,1
1484760600,3
1484764200,2
1484767800,4
1484771400,4
1484775000,2
1484778600,5
1484782200,7
