EpochTime,3.feed_26.PM10B_UG_M3..3.feed_59665.PM10_640_UG_M3
1481164200,9.0
1481167800,9.0
1481171400,4.0
1481175000,3.0
1481178600,6.0
1481182200,6.0
1481185800,8.0
1481189400,11.0
1481193000,11.0
1481196600,10.0
1481200200,12.0
1481203800,12.0
1481207400,11.0
1481211000,15.0
1481214600,14.0
1481218200,9.0
1481221800,14.0
1481225400,16.0
1481229000,14.0
1481232600,14.0
1481236200,9.0
1481239800,8.0
1481243400,12.0
1481247000,7.0
1481250600,5.0
1481254200,8.0
1481257800,8.0
1481261400,11.0
1481265000,9.0
1481268600,9.0
1481272200,13.0
1481275800,13.0
1481279400,12.0
1481283000,12.0
1481286600,11.0
1481290200,10.0
1481293800,15.0
1481297400,11.0
1481301000,15.0
1481304600,15.0
1481308200,9.0
1481311800,17.0
1481315400,12.0
1481319000,7.0
1481322600,10.0
1481326200,9.0
1481329800,8.0
1481333400,12.0
1481337000,10.0
1481340600,12.0
1481344200,9.0
1481347800,9.0
1481351400,10.0
1481355000,9.0
1481358600,9.0
1481362200,12.0
1481365800,13.0
1481369400,12.0
1481373000,13.0
1481376600,14.0
1481380200,12.0
1481383800,14.0
1481387400,6.0
1481391000,10.0
1481394600,6.0
1481398200,10.0
1481401800,12.0
1481405400,15.0
1481409000,9.0
1481412600,11.0
1481416200,13.0
1481419800,11.0
1481423400,11.0
1481427000,14.0
1481430600,15.0
1481434200,18.0
1481437800,15.0
1481441400,17.0
1481445000,15.0
1481448600,10.0
1481452200,10.0
1481455800,12.0
1481459400,9.0
1481463000,18.0
1481466600,14.0
1481470200,19.0
1481473800,11.0
1481477400,14.0
1481481000,15.0
1481484600,11.0
1481488200,7.0
1481491800,10.0
1481495400,9.0
1481499000,18.0
1481502600,22.0
1481506200,19.0
1481509800,20.0
1481513400,8.0
1481517000,19.0
1481520600,13.0
1481524200,17.0
1481527800,14.0
1481531400,9.0
1481535000,6.0
1481556600,5.0
1481560200,4.0
1481563800,5.0
1481567400,7.0
1481571000,7.0
1481578200,11.0
1481581800,12.0
1481585400,12.0
1481589000,14.0
1481592600,16.0
1481596200,15.0
